oid,cid,idn,tna,rnk,tid,oei,oli,eag,lag,rid,lng,lat,cnm,cxi,ctno,aka,eid,idr,iid,tdf,flg
occ:1555224,col:219406,Dinosauria indet.,Dinosauria,25,txn:52775,Late Cretaceous,,100.5,66.0,ref:76345,-66.495003,-17.304001,Iglesiani tracksite,39,,,,,,,
occ:1555225,col:219407,Sauropoda indet.,Sauropoda,25,txn:38653,Late Cretaceous,,100.5,66.0,ref:76345,-65.607002,-17.992001,Caroma-Vila Vila tracksite,39,,,,,,,
occ:1555226,col:219407,Theropoda indet.,Theropoda,25,txn:38513,Late Cretaceous,,100.5,66.0,ref:76345,-65.607002,-17.992001,Caroma-Vila Vila tracksite,39,,,,,,,
occ:1555227,col:219408,Dinosauria indet.,Dinosauria,25,txn:52775,Maastrichtian,,72.2,66.0,ref:76345,-66.508003,-17.687,Sayari tracksite,112,,,,,,,
occ:1555228,col:219409,Dinosauria indet.,Dinosauria,25,txn:52775,Maastrichtian,,72.2,66.0,ref:76345,-66.717003,-17.368999,La Tranca tracksite,112,,,,,,,
occ:1555229,col:67658,Theropoda indet.,Theropoda,25,txn:38513,Maastrichtian,,72.2,66.0,ref:76345,-65.773003,-18.120001,Caverna de Chiflón Q'aqa tracksite,112,,"Chiflon Qaqa, Toro Toro",,,,,
occ:1555230,col:219410,Dinosauria indet.,Dinosauria,25,txn:52775,Maastrichtian,,72.2,66.0,ref:76345,-65.765831,-18.105556,Hacienda Loma tracksite (PTOR 1),112,,Toro Toro,,,,,
occ:1555231,col:219411,Theropoda indet.,Theropoda,25,txn:38513,Maastrichtian,,72.2,66.0,ref:76345,-65.760002,-18.13611,Huayllas Orko tracksite (PTOR 3a),112,,Toro Toro,,,,,
occ:1555232,col:219412,Dinosauria indet.,Dinosauria,25,txn:52775,Maastrichtian,,72.2,66.0,ref:76345,-65.767776,-18.1525,Cruz Khasa tracksite (PTOR 6),112,,Toro Toro,,,,,
occ:1555233,col:219413,Theropoda indet.,Theropoda,25,txn:38513,Maastrichtian,,72.2,66.0,ref:76342,-65.764999,-18.140278,Cementerio tracksite (PTOR 7),112,,Toro Toro,rei:38219,,,,
occ:1555237,col:219414,Theropoda indet.,Theropoda,25,txn:38513,Maastrichtian,,72.2,66.0,ref:76342,-65.782776,-18.128611,Tankarpampa tracksite (PTOR 8),112,,"Toro Toro, T'ankarpampa",rei:38221,,,,
occ:1555238,col:219415,Dinosauria indet.,Dinosauria,25,txn:52775,Maastrichtian,,72.2,66.0,ref:76345,-65.782776,-18.128611,Viluyo tracksite (PTOR 8a),112,,Toro Toro,,,,,
